Speaker,Est. X (cm),Est. Y (cm)
A,9.091,8.465
A,9.091,8.465
A,6.727,2
A,2,12
A,9.091,8.566
A,9.091,8.465
A,2,2
A,2.545,11.495
A,2,12
A,2.364,11.495
A,9.091,8.465
A,2,12
A,2,12
A,9.091,8.465
A,14.545,12
A,2,2
A,20,4.626
A,9.091,8.364
A,9.091,8.465
A,2.364,11.495
A,2,12
A,15.455,12
A,20,12
A,15.091,12
A,3.455,2.404
A,2,12
A,11.82,2
A,9.091,8.465
A,2.909,2
A,14,2
B,2,12
B,2,12
B,2,12
B,2.9,12
B,3.455,2.404
B,2.727,2
B,9.091,8.465
B,2,2
B,9.091,8.465
B,20,12
B,2,11.697
B,9.091,8.465
B,12,2
B,2,12
B,2,12
B,3.091,2
B,2,2
B,2,12
B,6.182,2
B,20,12
B,3.818,2
B,2,2
B,2,11.596
B,3.636,2
B,2.545,12
B,9.091,8.465
B,2,12
B,2,2
B,9.091,8.465
B,20,12