Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Piezo_6_V,Timestamp_s
1.2903,1.2952,1.2708,1.2708,1.2708,1.261,16.14818
1.2268,1.2317,1.2219,1.217,1.2072,1.1975,16.18354
1.1584,1.1584,1.1486,1.1388,1.129,1.129,16.2189
1.085,1.0802,1.0802,1.0655,1.0557,1.0606,16.25426
0.9971,0.9922,0.9922,0.9775,0.9677,0.9922,16.28962
0.9042,0.8895,0.8895,0.8798,0.8798,0.914,16.32498
0.8651,0.8504,0.8504,0.8407,0.8407,0.87,16.36034
0.8309,0.8211,0.8211,0.8065,0.8065,0.8113,16.3957
0.7576,0.7429,0.7429,0.7527,0.7136,0.7527,16.43106
0.7283,0.7038,0.6843,0.6989,0.6891,0.6794,16.46642
0.5621,0.5816,0.5816,0.5816,0.5327,0.5132,16.50178
0.391,0.4008,0.4106,0.3617,0.3568,0.3812,16.53714
0.2786,0.2639,0.2737,0.2493,0.2248,0.2688,16.56626
0.1222,0.1026,0.1075,0.0733,0.0733,0.132,16.59538
0.0,0.0,0.0,0.0,0.0,0.0,16.6245
0.0,0.0,0.0,0.0,0.0,0.0,16.64738
0.0,0.0,0.0,0.0,0.0,0.0,16.67026
0.0,0.0,0.0,0.0,0.0,0.0,16.69314
0.0,0.0,0.0,0.0,0.0,0.0,16.71602
0.0,0.0,0.0,0.0,0.0,0.0,16.7389
0.0,0.0,0.0,0.0,0.0,0.0,16.76178
0.0,0.0,0.0,0.0,0.0,0.0,16.78466
0.0,0.0049,0.0,0.0,0.0,0.0049,16.80754
0.0196,0.0,0.0,0.0,0.0,0.0196,16.83042
0.0,0.0,0.0049,0.0049,0.0,0.0,16.8533
0.0684,0.0587,0.0684,0.0733,0.1075,0.1173,16.87618
0.1955,0.2102,0.259,0.2835,0.2786,0.2639,16.9053
0.4154,0.4692,0.479,0.5083,0.5376,0.4692,16.93442
0.6305,0.6843,0.694,0.738,0.7722,0.6989,16.96562
0.8847,0.9335,0.9335,0.9971,1.0264,0.9384,17.00098
1.1388,1.1828,1.1926,1.2561,1.2903,1.1975,17.03634
1.3148,1.349,1.3636,1.4076,1.437,1.3587,17.0717
1.3978,1.4125,1.4272,1.4516,1.4809,1.4272,17.10706
1.4223,1.4321,1.4418,1.4565,1.4858,1.4467,17.14242
1.4223,1.437,1.4418,1.437,1.4663,1.437,17.17778
1.4174,1.3978,1.4125,1.4076,1.4076,1.3881,17.21314
1.3832,1.3783,1.3734,1.3832,1.3734,1.3587,17.2485
1.3636,1.3636,1.3685,1.3587,1.349,1.3441,17.28386
1.3539,1.349,1.3441,1.3539,1.3441,1.3294,17.31922
1.3587,1.3881,1.3832,1.3783,1.3734,1.3685,17.35458
1.4125,1.4321,1.4223,1.4272,1.4418,1.4223,17.38994
1.4614,1.4858,1.4907,1.5005,1.5249,1.5005,17.4253
1.5298,1.5445,1.5445,1.5689,1.5885,1.564,17.46066
1.6422,1.6618,1.6618,1.696,1.7204,1.6764,17.49602
1.8231,1.8475,1.8426,1.8768,1.9062,1.8524,17.53138
1.9941,2.0332,2.0137,2.0674,2.0772,2.0088,17.56674
2.131,2.175,2.175,2.219,2.219,2.1505,17.6021
2.2141,2.2434,2.2434,2.2825,2.2972,2.2434,17.63746
2.3167,2.346,2.346,2.3754,2.3998,2.3607,17.67282
2.3998,2.4242,2.434,2.4585,2.4829,2.4487,17.70818
2.4878,2.5073,2.5073,2.5318,2.5513,2.5171,17.74354
2.5269,2.5415,2.5415,2.5806,2.5758,2.5269,17.7789
2.5171,2.522,2.5171,2.5122,2.5024,2.478,17.81426
2.434,2.4487,2.434,2.4194,2.3949,2.3803,17.84962
2.3949,2.3705,2.3705,2.3754,2.3558,2.3509,17.88498
2.3705,2.3509,2.3412,2.3656,2.3216,2.3069,17.92034
2.2385,2.2434,2.2336,2.2092,2.2092,2.2043,17.9557
2.1017,2.0968,2.0919,2.0577,2.0577,2.0723,17.99106
2.0235,1.9795,2.0039,1.9697,1.9404,1.9697,18.02642
1.8328,1.8035,1.8133,1.7742,1.7351,1.7644,18.06178
1.6227,1.5982,1.5982,1.5591,1.52,1.5396,18.09714
1.4174,1.393,1.393,1.3392,1.2805,1.3099,18.1325
1.1388,1.0948,1.0899,1.0411,0.9873,1.0655,18.16786
0.9531,0.914,0.9189,0.8602,0.8504,0.9189,18.20322
0.9629,0.9384,0.9238,0.9335,0.9238,0.9433,18.23858
1.0459,1.0313,1.0264,1.0557,1.0655,1.0753,18.27394
1.1779,1.1975,1.2023,1.2072,1.2268,1.1877,18.3093
1.2757,1.2952,1.2903,1.3196,1.3441,1.3001,18.34466
1.4272,1.4516,1.4467,1.4809,1.4956,1.4321,18.38002
1.5689,1.6031,1.6129,1.6325,1.6471,1.5689,18.41538
1.7107,1.74,1.7595,1.7791,1.7889,1.7155,18.45074
1.828,1.8622,1.8768,1.9062,1.9208,1.8524,18.4861
1.9355,1.9648,1.9795,2.0039,2.0235,1.9746,18.52146
2.043,2.0674,2.0821,2.1114,2.1554,2.1017,18.55682
2.1945,2.219,2.2483,2.2727,2.3021,2.219,18.59218
2.3021,2.3216,2.3412,2.3509,2.39,2.3265,18.62754
2.3167,2.3314,2.3314,2.3363,2.3167,2.2532,18.6629
2.1065,2.1017,2.0968,2.0821,2.0577,2.0528,18.69826
1.8866,1.8671,1.8573,1.8182,1.7889,1.8182,18.73362
1.6227,1.5836,1.5836,1.5298,1.4858,1.5396,18.76898
1.3099,1.2659,1.2561,1.1877,1.1486,1.2414,18.80434
1.0802,1.0362,1.0362,0.9775,0.958,1.0557,18.8397
0.9677,0.9335,0.9286,0.8944,0.8798,0.9482,18.87506
0.9335,0.914,0.9189,0.8944,0.8895,0.9286,18.91042
0.9384,0.9531,0.9726,0.9629,0.9482,0.9677,18.94578
1.0166,1.0264,1.0313,1.0264,1.0313,1.0264,18.98114
1.0655,1.0899,1.085,1.0948,1.0997,1.0802,19.0165
1.1144,1.129,1.129,1.1437,1.1437,1.129,19.05186
1.1388,1.1486,1.1584,1.1535,1.1632,1.1535,19.08722
1.1241,1.129,1.129,1.1388,1.1486,1.1486,19.12258
1.129,1.129,1.1339,1.1486,1.1632,1.1681,19.15794
1.1632,1.1632,1.1632,1.1828,1.1926,1.1926,19.1933
1.2121,1.217,1.217,1.2317,1.2463,1.2268,19.22866
1.2757,1.2903,1.2903,1.2903,1.3001,1.2659,19.26402
1.3539,1.3685,1.3587,1.349,1.3539,1.3294,19.29938
1.4076,1.4223,1.4272,1.437,1.4272,1.393,19.33474
1.4614,1.4761,1.4761,1.4907,1.4907,1.4614,19.3701
1.4907,1.5103,1.5298,1.5298,1.5347,1.4956,19.40546
1.4956,1.5103,1.5249,1.5445,1.5396,1.5347,19.44082
1.5152,1.5249,1.5298,1.5445,1.5543,1.5445,19.47618
1.608,1.6178,1.6178,1.6569,1.6667,1.6373,19.51154
1.7889,1.8084,1.8133,1.8622,1.8915,1.8231,19.5469
2.0235,2.0626,2.0577,2.0968,2.1359,2.0528,19.58226
2.263,2.3021,2.346,2.3705,2.4047,2.2972,19.61762
2.478,2.5367,2.6002,2.6246,2.6149,2.5415,19.65298
2.6295,2.6637,2.6784,2.7419,2.7664,2.6784,19.68834
2.7224,2.7419,2.7517,2.7908,2.8201,2.7664,19.7237
2.7713,2.7957,2.8104,2.8104,2.825,2.781,19.75906
2.7273,2.737,2.737,2.737,2.7468,2.7077,19.79442
2.5758,2.5709,2.5758,2.5611,2.5171,2.5122,19.82978
2.3754,2.3167,2.3314,2.2874,2.2239,2.2434,19.86514
2.0577,2.0283,2.0283,1.9648,1.911,1.9844,19.9005
1.8377,1.8084,1.8133,1.7498,1.7009,1.7742,19.93586
1.7107,1.6764,1.6813,1.6422,1.6129,1.6716,19.97122
1.6813,1.6911,1.6862,1.6667,1.6569,1.6813,20.00658
1.7449,1.7644,1.7693,1.7693,1.7742,1.7644,20.04194
1.828,1.8426,1.8524,1.8622,1.8671,1.8328,20.0773
1.8866,1.9062,1.9013,1.9208,1.9208,1.8719,20.11266
1.8817,1.8915,1.8866,1.8915,1.8817,1.8328,20.14802
1.7791,1.7791,1.7791,1.7595,1.7449,1.7204,20.18338
1.6178,1.6031,1.6031,1.5738,1.5445,1.5543,20.21874
1.4565,1.4272,1.437,1.3881,1.3734,1.4027,20.2541
1.2757,1.2512,1.2512,1.2121,1.1877,1.2317,20.28946
1.0655,1.0362,1.0459,0.9922,0.9384,1.0313,20.32482
0.826,0.8162,0.7918,0.7429,0.7136,0.782,20.36018
0.6061,0.567,0.5816,0.5376,0.4936,0.5865,20.39554
0.4252,0.4008,0.3959,0.347,0.3519,0.4252,20.4309
0.2981,0.2737,0.2737,0.2346,0.2346,0.3177,20.46002
0.2102,0.2004,0.1955,0.1564,0.1369,0.2248,20.48914
0.1564,0.1515,0.1515,0.1075,0.1124,0.1466,20.51826
0.0684,0.0733,0.0831,0.0733,0.0587,0.0978,20.54738
0.0098,0.0098,0.0098,0.0,0.0147,0.0489,20.5765
0.0098,0.0147,0.0244,0.0147,0.0049,0.0244,20.60042
0.0,0.0,0.0147,0.0,0.0,0.0147,20.6233
0.0147,0.0147,0.0244,0.0244,0.0244,0.0489,20.64618
0.0,0.0,0.0,0.0244,0.0196,0.0293,20.6701
0.0,0.0,0.0,0.0244,0.0489,0.044,20.69298
0.0684,0.0733,0.1026,0.1026,0.0978,0.0538,20.7169
0.0929,0.1222,0.1271,0.1369,0.1857,0.1271,20.746028
0.2248,0.2297,0.2248,0.2493,0.2884,0.2786,20.77514
0.3617,0.3617,0.3617,0.3959,0.4057,0.3715,20.80426
0.4203,0.4399,0.4448,0.4692,0.4839,0.4399,20.83338
0.4839,0.4985,0.4936,0.5376,0.5523,0.5083,20.8625
0.5523,0.5621,0.5767,0.6061,0.6109,0.5718,20.89682
0.6109,0.6109,0.6207,0.6452,0.6549,0.6207,20.93218
0.6452,0.6256,0.6598,0.6598,0.6745,0.6452,20.96754
0.6598,0.6549,0.6647,0.6696,0.6696,0.6891,21.0029
0.6696,0.6549,0.6452,0.6794,0.694,0.6745,21.03826
0.6891,0.694,0.7038,0.7038,0.7331,0.7185,21.07362
0.7478,0.7478,0.7429,0.7674,0.782,0.782,21.10898
0.826,0.8309,0.8358,0.8407,0.8504,0.8456,21.14434
0.8944,0.8944,0.9042,0.9238,0.9238,0.8895,21.1797
0.9335,0.9531,0.9433,0.9531,0.9531,0.9238,21.21506
0.9629,0.9775,0.9824,0.9873,0.9873,0.9726,21.25042
1.0068,1.0215,1.0215,1.0313,1.0313,1.0166,21.28578
1.0802,1.0899,1.0997,1.1144,1.1193,1.1095,21.32114
1.1681,1.1877,1.1926,1.2121,1.2366,1.2121,21.3565
1.2659,1.2952,1.3001,1.3245,1.349,1.3196,21.39186
1.3978,1.4223,1.4272,1.4565,1.4809,1.437,21.42722
1.5543,1.5787,1.5836,1.6178,1.6325,1.5738,21.46258
1.7009,1.7351,1.74,1.7742,1.784,1.7204,21.49794
1.828,1.8866,1.9013,1.9062,1.911,1.8524,21.5333
1.9453,1.9941,2.0137,2.0332,2.0332,1.9795,21.56866
2.0528,2.0919,2.1163,2.131,2.1261,2.0772,21.60402
2.1505,2.1945,2.1896,2.2336,2.219,2.1603,21.63938
2.1994,2.219,2.2483,2.2874,2.2727,2.219,21.67474
2.2434,2.2532,2.2825,2.2874,2.2923,2.2434,21.7101
2.3021,2.3118,2.3363,2.3558,2.3412,2.2874,21.74546
2.3656,2.4047,2.4096,2.4047,2.39,2.3314,21.78082
2.4096,2.4389,2.4585,2.478,2.4438,2.39,21.81618
2.4682,2.4927,2.4927,2.522,2.4682,2.434,21.85154
2.4096,2.434,2.4633,2.4536,2.4096,2.39,21.8869
2.2923,2.2825,2.3118,2.2825,2.2385,2.2678,21.92226
2.0088,1.9795,1.999,1.955,1.9013,1.9257,21.95762
1.5738,1.5298,1.5591,1.4712,1.4027,1.4663,21.99298
1.0215,0.9384,0.9433,0.8407,0.7722,0.8847,22.02834
0.4301,0.3372,0.3372,0.2248,0.1955,0.4252,22.0637
0.0782,0.0,0.0,0.0,0.0,0.1369,22.09282
0.0,0.0,0.0,0.0,0.0,0.044,22.11778
0.0098,0.0,0.0,0.0,0.0049,0.0489,22.14066
0.1466,0.1466,0.1466,0.1711,0.2004,0.2004,22.16458
0.3715,0.4008,0.3763,0.435,0.4888,0.4839,22.1937
0.7576,0.8113,0.782,0.8895,1.0166,0.9775,22.22386
1.3636,1.4467,1.393,1.5689,1.7351,1.6178,22.25922
2.2287,2.3656,2.3167,2.5367,2.7859,2.6442,22.29458
3.48,3.6852,3.6315,3.8661,4.1593,3.9394,22.32994
4.5846,4.7507,4.5992,4.8827,5.0,4.6579,22.3653
4.565,4.7067,4.6774,4.8289,4.6774,4.4575,22.4017
3.695,3.607,3.5924,3.48,3.4653,3.5435,22.43706
2.8201,2.7028,2.7077,2.6051,2.5709,2.7908,22.47242
2.2825,2.1505,2.1261,2.0283,1.9844,2.2239,22.50778
1.9746,1.8768,1.8426,1.74,1.6618,1.828,22.543148
1.6813,1.6129,1.5836,1.5249,1.4516,1.5689,22.5785
1.4809,1.437,1.4174,1.3392,1.2659,1.3441,22.61386
1.2512,1.2317,1.2219,1.173,1.0899,1.1584,22.64922
1.1437,1.1241,1.1339,1.1046,1.0753,1.1193,22.68458
1.085,1.0655,1.0753,1.085,1.0362,1.0899,22.71994
1.0606,1.0557,1.0655,1.0557,1.0459,1.0899,22.7553
1.0606,1.0557,1.0459,1.0655,1.0753,1.085,22.79066
1.0362,1.0313,1.0362,1.0264,1.0411,1.0459,22.82602
1.0411,1.0313,1.0264,1.0313,1.0215,1.0166,22.86138
0.9824,0.9775,0.9824,0.9677,0.9629,0.9629,22.89674
0.9531,0.9433,0.9433,0.9433,0.9335,0.9384,22.9321
0.9238,0.9238,0.9286,0.9238,0.9091,0.9238,22.96746
0.914,0.9042,0.9091,0.9042,0.9189,0.9335,23.00282
0.9042,0.9286,0.9238,0.9189,0.9384,0.9335,23.03818
0.914,0.9286,0.9238,0.9335,0.9335,0.9335,23.07354
0.9433,0.9384,0.9384,0.9433,0.9677,0.958,23.1089
0.9286,0.9433,0.9531,0.9629,0.9629,0.9384,23.14426
0.958,0.9629,0.9677,0.9726,0.9775,0.958,23.17962
0.9677,0.9726,0.9726,0.9775,0.9629,0.9531,23.21498
0.9726,0.9824,0.9873,0.9775,0.9873,0.9775,23.25034
0.9824,0.9873,0.9873,1.002,1.002,0.9922,23.2857
0.9873,0.9824,0.9922,0.9971,1.0068,1.0068,23.32106
0.9873,0.9922,1.0117,1.002,1.0215,1.0215,23.356428
0.9922,1.0117,0.9971,1.0068,1.0264,1.0068,23.39178
1.0117,1.0068,1.0117,1.0313,1.0166,1.0068,23.42714
1.0117,1.0166,1.0264,1.0313,1.0313,1.0117,23.4625
1.0117,1.0166,1.0166,1.002,1.0166,1.002,23.49786
0.9922,1.0117,1.0068,1.0068,1.0068,0.9873,23.53322
0.9775,0.9775,0.9775,0.9873,0.9922,0.9922,23.56858
0.958,0.958,0.9775,0.9775,0.9824,0.9873,23.60394
0.9384,0.9433,0.9726,0.9726,0.9726,0.9531,23.6393
0.9531,0.9531,0.9677,0.9629,0.9629,0.9677,23.674668
0.9531,0.9531,0.9629,0.9677,0.9531,0.958,23.71002
0.9384,0.9482,0.9726,0.9531,0.9726,0.9189,23.74538
0.9629,0.9482,0.9531,0.9677,0.958,0.9238,23.78074
0.9482,0.9482,0.9726,0.9726,0.9482,0.9433,23.8161
0.9482,0.9433,0.9629,0.9629,0.958,0.958,23.85146
0.9384,0.9384,0.9482,0.9629,0.9629,0.9629,23.88682
0.9384,0.9384,0.9531,0.9629,0.9629,0.9677,23.92218
0.9433,0.9384,0.9482,0.9677,0.9824,0.9531,23.95754
0.9384,0.9531,0.958,0.9629,0.9677,0.9433,23.9929
0.9629,0.9482,0.9629,0.9677,0.9629,0.958,24.02826
0.9726,0.9677,0.9775,0.9629,0.9629,0.9531,24.06362
0.9629,0.9726,0.9433,0.9775,0.9482,0.9384,24.09898
0.958,0.9677,0.958,0.9726,0.9726,0.9531,24.13434
0.9629,0.958,0.9775,0.9726,0.9775,0.9726,24.1697
0.958,0.9629,0.9726,0.9677,0.9775,0.9775,24.20506
0.958,0.9629,0.9629,0.9677,0.9775,0.9775,24.24042
0.9629,0.9629,0.9677,0.9775,0.9824,0.9629,24.27578
0.9677,0.9629,0.9824,0.9726,0.9726,0.9531,24.31114
0.9629,0.9824,0.9824,0.9824,0.9726,0.9531,24.3465
0.9629,0.9726,0.9775,0.9677,0.958,0.9384,24.38186
0.9531,0.9726,0.9677,0.9677,0.9433,0.9433,24.41722
0.9384,0.9531,0.9677,0.9629,0.9726,0.9531,24.45258
0.9384,0.9482,0.958,0.9433,0.9677,0.958,24.487948
0.9433,0.9482,0.958,0.9531,0.9677,0.9677,24.5233
0.9384,0.9531,0.9629,0.9629,0.9726,0.9531,24.55866
0.958,0.9629,0.9629,0.9677,0.958,0.9482,24.59402
0.9677,0.9726,0.9726,0.9775,0.9677,0.958,24.62938
0.9726,0.9775,0.9824,0.9824,0.9775,0.958,24.66474
0.9775,0.9775,0.9775,0.9873,0.9775,0.9677,24.7001
0.9775,0.9775,0.9775,0.9922,0.9873,0.9873,24.73546
0.9726,0.9629,0.9726,0.9775,0.9824,0.9873,24.77082
0.9726,0.9629,0.9677,0.9775,0.9971,0.9922,24.806188
0.958,0.9677,0.9824,0.9873,0.9873,0.9873,24.84154
0.9677,0.9922,0.9873,0.9922,0.9971,0.9677,24.8769
0.9922,0.9971,0.9922,1.002,0.9873,0.9775,24.91226
0.9971,1.002,1.0068,1.002,0.9922,0.9775,24.94762
0.9971,0.9922,1.002,1.002,0.9971,0.9873,24.98298
0.9922,0.9873,0.9922,0.9971,0.9971,0.9971,25.01834
0.9873,0.9873,0.9922,0.9873,1.0068,0.9971,25.0537
0.9873,0.9922,0.9873,0.9922,1.0117,1.002,25.08906
1.002,0.9775,1.002,1.002,1.002,0.9971,25.12442
0.9971,1.0068,1.0166,1.0117,0.9775,0.9775,25.15978
1.0166,1.0068,1.0068,1.002,1.0117,0.9971,25.19514
1.0068,1.0264,1.0215,1.0215,1.0166,0.9971,25.2305
1.0117,1.0313,1.0264,1.0264,1.0166,1.002,25.26586
1.0215,1.0264,1.0362,1.0411,1.0264,1.0215,25.30122
1.0215,1.0362,1.0313,1.0313,1.0362,1.0362,25.33658
1.0313,1.0215,1.0215,1.0362,1.0411,1.0362,25.37194
1.0264,1.0313,1.0362,1.0411,1.0508,1.0411,25.4073
1.0411,1.0411,1.0362,1.0508,1.0557,1.0362,25.44266
1.0508,1.0508,1.0459,1.0704,1.0362,1.0215,25.47802
1.0557,1.0704,1.0508,1.0557,1.0508,1.0313,25.51338
1.0655,1.0606,1.0655,1.0606,1.0508,1.0508,25.54874
1.0557,1.0557,1.0606,1.0557,1.0606,1.0606,25.5841
1.0508,1.0411,1.0655,1.0655,1.0753,1.0753,25.619468
1.0362,1.0606,1.0704,1.0753,1.0704,1.0557,25.65482
1.0606,1.0655,1.0704,1.0704,1.0802,1.0802,25.69018
1.0802,1.085,1.0802,1.0899,1.0997,1.0753,25.72554
1.0948,1.0997,1.0948,1.0997,1.0948,1.085,25.7609
