Time (s),Voltage (V)
18.299,0.65
18.311,0.91
18.32,0.0
18.332,1.25
18.34,0.3
18.352,0.0
18.361,1.61
18.373,0.0
18.381,0.82
18.393,0.94
18.406,0.0
18.414,1.39
18.426,0.34
18.435,0.0
18.447,1.57
18.455,0.1
18.467,0.78
18.475,0.84
18.488,0.0
18.496,1.33
18.508,0.11
18.516,0.0
18.528,1.28
18.541,0.0
18.549,0.85
18.561,0.83
18.57,0.0
18.582,1.6
18.59,0.0
18.602,0.0
18.61,1.24
18.623,0.0
18.631,1.1
18.643,0.81
18.651,0.0
18.664,1.3
18.676,0.15
18.684,0.0
18.696,1.14
18.705,0.0
18.717,0.83
18.725,0.74
18.737,0.0
18.746,1.71
18.758,0.02
18.766,0.05
18.778,1.05
18.787,0.0
18.799,1.11
18.811,0.7
18.819,0.0
18.832,1.73
18.84,0.0
18.852,0.07
18.86,0.99
18.873,0.0
18.881,0.8
18.893,0.71
18.901,0.0
18.914,1.49
18.922,0.0
18.934,0.02
18.946,0.98
18.954,0.0
18.967,1.47
18.975,0.68
18.987,0.0
18.995,1.58
19.008,0.0
19.016,0.37
19.028,1.1
19.036,0.0
19.049,1.56
19.057,0.61
19.069,0.0
19.077,1.51
19.09,0.0
19.102,0.43
19.11,1.15
19.122,0.0
19.13,1.68
19.143,0.55
19.151,0.0
19.163,1.57
19.171,0.09
19.184,0.62
19.192,1.05
19.204,0.0
19.212,1.17
19.225,0.44
19.237,0.0
19.245,1.91
19.257,0.16
19.266,0.69
19.278,1.03
19.286,0.0
19.298,1.71
19.307,0.35
19.319,0.0
19.327,1.77
19.339,0.0
19.348,0.8
19.36,1.0
19.372,0.0
19.38,1.72
19.393,0.35
19.401,0.0
19.413,1.52
19.422,0.11
19.434,0.85
19.442,0.9
19.454,0.0
19.462,1.58
19.475,0.12
19.483,0.0
19.495,1.79
19.507,0.01
19.516,0.9
19.528,0.9
19.536,0.0
19.548,1.71
19.557,0.0
19.569,0.0
19.577,1.59
19.589,0.0
19.598,1.17
19.61,0.9
19.618,0.0
19.63,1.78
19.642,0.0
19.651,0.0
19.663,1.64
19.671,0.0
19.683,1.27
19.692,0.85
19.704,0.0
19.712,1.61
19.724,0.35
19.733,0.04
19.745,1.52
19.753,0.0
19.765,1.44
19.778,0.88
19.786,0.0
19.798,1.62
19.806,0.35
19.819,0.14
19.827,1.27
19.839,0.0
19.847,1.25
19.86,0.82
19.868,0.0
19.88,1.56
19.888,0.07
19.901,0.22
19.913,1.1
19.921,0.0
19.933,1.38
19.941,0.72
19.954,0.0
19.962,1.59
19.974,0.05
19.982,0.21
19.995,1.11
20.003,0.0
20.015,1.27
20.023,0.69
20.036,0.0
20.048,1.56
20.056,0.34
20.068,0.38
20.077,1.15
20.089,0.0
20.097,1.33
20.109,0.64
20.118,0.0
20.13,1.89
20.138,0.05
20.15,0.53
20.159,1.16
20.171,0.0
20.183,1.17
20.191,0.6
20.204,0.0
20.212,1.73
20.224,0.0
20.232,0.55
20.245,1.07
20.253,0.0
20.265,1.22
20.273,0.51
20.286,0.0
20.294,1.84
20.306,0.33
20.318,0.51
20.327,1.05
20.339,0.0
20.347,1.26
20.359,0.46
20.367,0.0
20.38,1.67
20.388,0.0
20.4,0.7
20.408,1.08
20.421,0.0
20.429,1.53
20.441,0.34
20.453,0.0
20.462,1.9
20.474,0.0
20.482,0.81
20.494,1.05
20.503,0.0
20.515,1.56
20.523,0.36
20.535,0.0
20.544,1.66
20.556,0.0
20.564,0.91
20.576,1.01
20.589,0.0
20.597,1.46
20.609,0.11
20.617,0.0
20.63,1.77
20.638,0.0
20.65,0.81
20.658,0.95
20.671,0.0
20.679,1.7
20.691,0.42
20.699,0.0
20.712,1.58
20.724,0.0
20.732,1.17
20.744,0.83
20.752,0.0
20.765,1.74
20.773,0.39
20.785,0.0
20.794,1.6
20.806,0.0
20.814,1.29
20.826,0.82
20.834,0.0
20.847,1.6
20.859,0.31
20.867,0.01
20.879,1.19
20.888,0.0
20.9,1.45
20.908,0.83
20.92,0.0
20.929,1.67
20.941,0.0
20.949,0.11
20.961,1.11
20.97,0.0
20.982,0.94
20.994,0.77
21.002,0.0
21.015,1.71
21.023,0.06
21.035,0.21
21.043,1.08
21.056,0.0
21.064,1.28
21.076,0.69
21.084,0.0
21.096,1.65
21.105,0.0
21.117,0.33
21.129,1.13
21.137,0.0
21.15,1.28
21.158,0.7
21.17,0.0
21.178,1.76
21.191,0.22
21.199,0.42
21.211,1.12
21.219,0.0
21.232,1.29
21.24,0.59
21.252,0.0
21.264,1.7
21.273,0.39
21.285,0.52
21.293,1.07
21.305,0.0
21.314,1.52
21.326,0.52
21.334,0.0
21.346,1.93
21.355,0.02
21.367,0.67
21.375,1.14
21.387,0.0
21.4,1.34
21.408,0.43
21.42,0.0
21.428,2.0
21.441,0.32
21.449,0.58
21.461,1.06
21.469,0.0
21.481,1.22
21.49,0.46
21.502,0.0
21.51,1.92
21.522,0.33
21.535,0.8
21.543,1.09
21.555,0.0
21.563,1.33
21.576,0.37
21.584,0.01
21.596,1.77
21.604,0.05
21.617,0.91
21.625,1.06
21.637,0.0
21.645,1.39
21.658,0.26
21.67,0.0
21.678,1.66
21.69,0.0
21.699,0.79
21.711,0.97
21.719,0.0
21.731,1.74
21.74,0.22
21.752,0.04
21.76,1.66
21.772,0.01
21.781,1.19
21.793,1.02
21.805,0.0
21.813,1.39
21.826,0.37
21.834,0.09
21.846,1.74
21.854,0.22
21.867,1.07
21.875,1.01
21.887,0.0
21.895,1.59
21.908,0.04
21.916,0.0
21.928,1.49
21.94,0.0
21.948,1.3
21.961,0.92
21.969,0.0
21.981,1.61
21.989,0.05
22.002,0.1
22.01,1.4
22.022,0.0
22.03,1.17
22.043,0.87
22.051,0.0
22.063,1.45
22.075,0.37
22.084,0.08
22.096,1.3
22.104,0.0
22.116,0.91
22.125,0.83
22.137,0.0
22.145,1.65
22.157,0.0
22.166,0.17
22.178,1.15
22.186,0.0
22.198,1.47
22.211,0.73
22.219,0.0
22.231,1.84
22.239,0.36
22.252,0.3
22.26,1.18
22.272,0.0
22.28,1.17
22.292,0.72
22.301,0.0
22.313,1.54
22.321,0.0
22.334,0.24
22.346,0.99
22.354,0.0
22.366,1.17
22.374,0.69
22.387,0.0
22.395,1.7
22.407,0.0
22.415,0.33
22.428,0.98
22.436,0.0
22.448,1.4
22.456,0.55
22.469,0.0
22.481,1.68
22.489,0.32
22.501,0.38
22.51,1.13
22.522,0.0
22.53,1.36
22.542,0.49
22.551,0.03
22.563,1.6
22.571,0.0
22.583,0.45
22.592,0.92
22.604,0.0
22.616,1.18
22.624,0.47
22.636,0.0
22.645,1.81
22.657,0.03
22.665,0.59
22.677,1.03
22.686,0.0
22.698,1.61
22.706,0.37
22.718,0.0
22.727,1.64
22.739,0.0
22.751,0.81
22.759,1.02
22.772,0.0
22.78,1.45
22.792,0.23
22.8,0.0
22.813,1.66
22.821,0.0
22.833,0.76
22.841,1.0
22.854,0.0
22.862,1.23
22.874,0.14
22.886,0.0
22.895,1.57
22.907,0.01
22.915,0.79
22.927,0.93
22.936,0.0
22.948,1.71
22.956,0.01
22.968,0.0
22.976,1.49
22.989,0.0
22.997,0.86
23.009,0.93
23.022,0.0
23.03,1.47
23.042,0.08
23.05,0.0
23.063,1.41
23.071,0.0
23.083,0.85
23.091,0.86
23.103,0.0
23.112,1.54
23.124,0.36
23.132,0.15
23.144,1.5
23.157,0.0
23.165,1.12
23.177,0.82
23.185,0.0
23.198,1.68
23.206,0.0
23.218,0.18
23.226,1.16
23.239,0.0
23.247,1.05
23.259,0.83
23.267,0.0
23.28,1.74
23.292,0.36
23.3,0.17
23.312,1.23
23.321,0.0
23.333,0.96
23.341,0.74
23.353,0.0
23.362,1.67
23.374,0.31
23.382,0.33
23.394,1.1
23.403,0.0
23.415,1.06
23.427,0.7
23.435,0.0
23.447,1.9
23.456,0.29
23.468,0.37
23.476,1.11
23.488,0.0
23.497,1.31
23.509,0.61
23.517,0.0
23.529,1.61
23.538,0.33
23.55,0.46
23.562,1.12
23.57,0.0
23.583,1.31
23.591,0.54
23.603,0.0
23.611,1.6
23.624,0.0
23.632,0.52
23.644,1.03
23.652,0.0
23.665,1.65
23.673,0.44
23.685,0.0
23.697,1.69
23.706,0.0
23.718,0.55
23.726,1.0
23.738,0.0
23.747,1.58
23.759,0.38
23.767,0.0
23.779,1.63
23.787,0.0
23.8,0.71
23.808,0.96
23.82,0.0
23.832,1.36
23.841,0.36
23.853,0.0
23.861,1.92
23.874,0.0
23.882,0.87
23.894,1.07
23.902,0.0
23.914,1.83
23.923,0.09
23.935,0.0
23.943,1.91
23.955,0.11
23.968,1.01
23.976,1.02
23.988,0.0
23.996,1.36
24.009,0.05
24.017,0.0
24.029,1.61
24.037,0.22
24.05,0.91
24.058,1.0
24.07,0.0
24.078,1.77
24.091,0.0
24.103,0.0
24.111,1.59
24.123,0.0
24.132,1.47
24.144,0.9
24.152,0.0
24.164,1.77
24.173,0.37
24.185,0.16
24.193,1.59
24.205,0.0
24.213,1.63
24.226,0.9
24.238,0.0
24.246,1.8
24.258,0.0
24.267,0.29
24.279,1.34
24.287,0.0
24.299,1.6
24.308,0.88
24.32,0.0
24.328,1.86
24.34,0.38
24.349,0.38
24.361,1.36
24.373,0.0
24.381,1.11
24.394,0.75
24.402,0.0
24.414,1.93
24.422,0.29
24.435,0.39
24.443,1.34
24.455,0.0
24.463,1.73
24.476,0.75
24.484,0.0
24.496,1.86
24.508,0.0
24.516,0.57
24.529,1.24
24.537,0.0
24.549,1.26
24.557,0.69
24.57,0.0
24.578,1.74
24.59,0.0
24.598,0.5
24.611,1.13
24.619,0.0
24.631,1.18
24.644,0.58
24.652,0.0
24.664,1.86
24.672,0.27
24.684,0.58
24.693,1.12
24.705,0.0
24.713,1.68
24.725,0.53
24.734,0.0
24.746,1.94
24.754,0.0
24.766,0.61
24.779,1.03
24.787,0.0
24.799,1.31
24.807,0.43
24.82,0.0
24.828,1.79
24.84,0.21
24.848,0.76
24.861,1.09
24.869,0.0
24.881,1.82
24.889,0.37
24.902,0.0
24.914,1.92
24.922,0.0
24.934,0.73
24.942,1.03
24.955,0.0
24.963,1.23
24.975,0.37
24.983,0.0
24.996,1.68
25.004,0.0
25.016,0.84
25.024,1.03
25.037,0.0
25.049,1.86
25.057,0.07
25.069,0.0
25.078,1.67
25.09,0.26
25.098,0.91
25.11,0.93
25.119,0.0
25.131,1.28
25.139,0.06
25.151,0.0
25.16,1.56
25.172,0.25
25.184,0.87
25.192,0.92
25.205,0.0
25.213,1.42
25.225,0.0
25.233,0.0
25.246,1.55
25.254,0.09
25.266,1.39
25.274,0.94
25.286,0.0
25.295,1.64
25.307,0.12
25.319,0.0
25.327,1.4
25.34,0.0
25.348,1.35
25.36,0.84
25.368,0.0
25.381,1.9
25.389,0.33
25.401,0.1
25.409,1.24
25.422,0.0
25.431,1.45
25.442,0.85
25.455,0.0
25.463,1.83
25.475,0.29
25.483,0.22
25.495,1.13
25.504,0.0
25.516,0.9
25.524,0.75
25.536,0.0
25.545,1.72
25.557,0.16
25.565,0.28
25.577,1.07
25.59,0.0
25.598,1.03
25.61,0.68
25.618,0.0
25.631,1.73
25.639,0.03
25.651,0.35
25.659,1.07
25.671,0.0
25.68,1.58
25.692,0.68
25.7,0.0
25.712,1.72
25.725,0.3
25.733,0.45
25.745,1.11
25.753,0.0
25.766,1.2
25.774,0.63
25.786,0.0
25.794,2.04
25.807,0.08
25.815,0.52
25.827,1.03
25.835,0.0
25.848,1.72
25.86,0.55
25.868,0.0
25.88,1.84
25.889,0.0
25.901,0.49
25.909,0.94
25.921,0.0
25.93,1.5
25.942,0.53
25.95,0.0
25.962,1.74
25.971,0.23
25.983,0.79
25.995,1.07
26.003,0.0
26.016,1.33
26.024,0.38
26.036,0.0
26.044,1.73
26.056,0.02
26.065,0.84
26.077,1.02
26.085,0.0
26.097,1.61
26.106,0.3
26.118,0.0
26.13,1.66
26.138,0.33
26.151,0.86
26.159,0.93
26.171,0.0
26.179,1.24
26.192,0.21
26.2,0.0
26.212,1.56
26.22,0.0
26.233,1.04
26.241,0.89
26.253,0.0
26.265,1.21
26.274,0.0
26.286,0.0
26.294,1.74
26.306,0.0
26.315,0.96
26.327,0.89
26.335,0.0
26.347,1.73
26.356,0.38
26.368,0.0
26.376,1.42
26.388,0.0
26.401,0.73
26.409,0.87
26.421,0.0
26.429,1.56
26.441,0.12
26.45,0.0
26.462,1.34
26.47,0.0
26.482,1.32
26.491,0.85
26.503,0.0
26.511,1.64
26.523,0.35
26.536,0.0
26.544,1.31
26.556,0.0
26.564,0.9
26.577,0.73
26.585,0.0
26.597,1.84
26.605,0.0
26.618,0.12
26.626,1.1
26.638,0.0
26.646,0.94
26.659,0.75
26.667,0.0
26.679,1.88
26.691,0.37
26.7,0.2
26.712,1.08
26.72,0.0
26.732,1.45
26.741,0.71
26.753,0.0
26.761,1.57
26.773,0.22
26.782,0.36
26.794,1.1
26.806,0.0
26.814,0.96
26.827,0.57
26.835,0.0
26.847,1.63
26.855,0.0
26.867,0.33
26.876,1.05
26.888,0.0
26.896,1.71
26.908,0.61
26.917,0.0
26.929,1.8
26.941,0.13
26.949,0.53
26.962,1.06
26.97,0.0
26.982,1.17
26.99,0.53
27.003,0.0
27.011,1.81
27.023,0.26
27.031,0.56
27.044,1.08
27.052,0.0
27.064,1.34
27.076,0.42
27.085,0.0
27.097,1.95
27.105,0.01
27.117,0.6
27.126,1.02
27.138,0.0
27.146,1.22
27.158,0.43
27.166,0.0
27.179,1.89
27.187,0.08
27.199,0.65
27.212,0.87
27.22,0.0
27.232,1.21
27.24,0.37
27.252,0.0
27.261,1.84
27.273,0.0
27.281,0.81
27.293,0.92
27.302,0.0
27.314,1.47
27.322,0.34
27.334,0.0
27.347,1.87
27.355,0.03
27.367,1.03
27.375,0.87
27.388,0.0
27.396,1.73
27.408,0.2
27.416,0.0
27.429,1.67
27.437,0.0
27.449,0.93
27.457,0.98
27.47,0.0
27.482,1.95
27.49,0.12
27.502,0.0
27.511,1.69
27.523,0.0
27.531,1.11
27.543,0.84
27.551,0.0
27.564,1.87
27.572,0.0
27.584,0.0
27.592,1.38
27.605,0.0
27.613,1.18
27.625,0.86
27.637,0.0
27.646,1.61
27.658,0.39
27.666,0.17
27.678,1.21
27.687,0.0
27.699,0.99
27.707,0.81
27.719,0.0
27.728,1.84
27.74,0.07
27.748,0.27
27.76,1.19
27.773,0.0
27.781,1.03
27.793,0.78
27.801,0.0
27.814,1.99
27.822,0.31
27.834,0.25
27.842,1.17
27.855,0.0
27.863,0.98
27.875,0.69
27.883,0.0
27.895,1.8
27.908,0.0
27.916,0.38
27.928,1.21
27.937,0.0
27.949,1.09
27.957,0.65
27.969,0.0
27.977,2.05
27.99,0.28
27.998,0.52
28.01,1.09
28.018,0.0
28.031,1.25
28.043,0.6
28.051,0.0
28.063,1.7
28.072,0.02
28.084,0.44
28.092,0.99
28.104,0.0
28.113,1.05
28.125,0.49
28.133,0.0
28.145,1.85
28.154,0.03
28.166,0.64
28.178,1.02
28.186,0.0
28.199,1.42
28.207,0.41
28.219,0.0
28.227,1.73
28.24,0.0
28.248,0.75
28.26,1.01
28.268,0.0
28.281,1.57
28.289,0.37
28.301,0.0
28.313,1.98
28.322,0.28
28.334,0.96
28.342,0.95
28.354,0.0
28.362,1.38
28.375,0.29
28.383,0.0
28.395,1.91
28.403,0.0
28.416,0.89
28.424,0.93
28.436,0.0
28.448,1.34
28.457,0.02
28.469,0.0
28.477,1.6
28.489,0.29
28.498,0.77
28.51,0.87
28.518,0.0
28.53,1.53
28.539,0.0
28.551,0.0
28.559,1.51
28.571,0.06
28.584,1.22
28.592,0.8
28.604,0.0
28.612,1.43
28.625,0.0
28.633,0.0
28.645,1.49
28.653,0.0
28.665,1.02
28.674,0.86
28.686,0.0
28.694,1.5
28.707,0.0
28.719,0.0
28.727,1.19
28.739,0.0
28.748,0.9
28.76,0.85
28.768,0.0
28.78,1.82
28.789,0.0
28.801,0.21
28.809,1.16
28.821,0.0
28.829,1.02
28.842,0.73
28.854,0.0
28.862,1.44
28.874,0.0
28.883,0.02
28.895,0.95
28.903,0.0
28.915,1.33
28.924,0.75
28.936,0.0
28.944,1.64
28.956,0.39
28.965,0.13
28.977,0.96
28.989,0.0
28.997,0.89
29.01,0.68
29.018,0.0
29.03,1.59
29.038,0.35
29.051,0.3
29.059,0.98
29.071,0.0
29.079,1.02
29.091,0.58
29.1,0.0
29.112,1.58
29.124,0.06
29.132,0.38
29.145,1.02
29.153,0.0
29.165,1.05
29.173,0.55
29.186,0.0
29.194,1.63
29.206,0.29
29.214,0.55
29.227,1.01
29.235,0.0
29.247,1.28
29.259,0.49
29.268,0.0
29.28,1.63
29.288,0.0
29.3,0.54
29.309,1.02
29.321,0.0
29.329,1.29
29.341,0.39
29.35,0.0
29.362,1.79
29.37,0.0
29.382,0.72
29.395,0.95
29.403,0.0
29.415,1.33
29.423,0.33
29.436,0.0
29.444,1.65
29.456,0.02
29.464,0.89
29.476,0.96
29.485,0.0
29.497,1.19
29.505,0.38
29.517,0.0
29.53,1.91
29.538,0.26
29.55,0.86
29.558,0.93
29.571,0.0
29.579,1.52
29.591,0.09
29.599,0.0
29.612,1.87
29.62,0.18
29.632,0.8
29.64,0.92
29.653,0.0
29.665,1.44
29.673,0.0
29.685,0.0
29.694,1.62
29.706,0.0
29.714,1.4
29.726,0.93
29.735,0.0
29.747,1.72
29.755,0.0
29.767,0.0
29.776,1.37
29.788,0.0
29.8,1.09
29.808,0.84
29.821,0.0
29.829,1.9
29.841,0.0
29.849,0.14
29.862,1.39
29.87,0.0
29.882,1.5
29.89,0.78
29.903,0.0
29.911,1.81
29.923,0.01
29.935,0.28
29.943,1.31
29.956,0.0
29.964,1.06
29.976,0.8
29.984,0.0
29.997,1.73
30.005,0.06
30.017,0.25
30.025,1.12
30.038,0.0
30.046,1.19
30.058,0.71
30.07,0.0
30.079,1.88
30.091,0.09
30.099,0.17
30.111,1.04
30.12,0.0
30.132,0.87
30.14,0.68
30.152,0.0
30.161,1.55
30.173,0.0
30.181,0.23
30.193,0.94
30.206,0.0
30.214,0.99
30.226,0.6
30.234,0.0
30.247,1.61
30.255,0.0
30.267,0.31
30.275,0.92
30.287,0.0
30.296,1.22
30.308,0.55
30.316,0.0
30.328,1.69
30.341,0.34
30.349,0.61
30.361,1.11
30.369,0.0
30.382,1.83
30.39,0.43
30.402,0.0
30.41,1.93
30.423,0.0
30.431,0.67
30.443,1.03
30.451,0.0
30.464,1.38
30.476,0.35
30.484,0.0
30.496,1.79
30.505,0.32
30.517,0.77
30.525,0.99
30.537,0.0
30.546,1.51
30.558,0.3
30.566,0.0
30.578,1.81
30.586,0.0
30.599,0.97
30.611,0.96
30.619,0.0
30.631,1.71
30.64,0.08
30.652,0.0
30.66,1.68
30.672,0.28
30.681,0.67
30.693,0.74
30.701,0.0
30.713,1.6
30.722,0.32
30.734,0.0
30.746,1.52
30.754,0.27
30.767,0.8
30.775,0.88
30.787,0.0
30.795,1.79
30.808,0.0
30.816,0.02
30.828,1.74
30.836,0.0
30.849,0.98
30.857,0.79
30.869,0.0
30.881,1.68
30.89,0.35
30.902,0.0
30.91,1.55
30.922,0.0
30.93,1.14
30.943,0.75
30.951,0.0
30.963,1.77
30.971,0.0
30.984,0.06
30.992,1.12
31.004,0.0
31.016,1.19
31.025,0.73
31.037,0.0
31.045,1.49
31.057,0.0
31.066,0.0
31.078,1.09
31.086,0.0
31.098,1.11
31.107,0.72
31.119,0.0
31.127,1.86
31.139,0.15
31.152,0.26
31.16,1.11
31.172,0.0
31.18,1.11
31.193,0.67
31.201,0.0
31.213,2.0
31.221,0.31
31.234,0.23
31.242,0.99
31.254,0.0
31.262,0.99
31.275,0.61
31.283,0.0
31.295,1.7
31.307,0.0
31.316,0.37
31.328,1.04
31.336,0.0
31.348,1.58
31.356,0.55
31.369,0.0
31.377,1.66
31.389,0.0
31.397,0.37
31.41,1.01
31.418,0.0
31.43,1.26
31.442,0.49
31.451,0.0
31.463,1.74
31.471,0.3
31.483,0.5
31.492,1.01
31.504,0.0
31.512,1.39
31.524,0.45
31.533,0.0
31.545,1.73
31.553,0.27
31.565,0.68
31.578,0.95
31.586,0.0
31.598,1.47
31.606,0.35
31.619,0.0
31.627,1.65
31.639,0.35
31.647,0.64
31.659,0.9
31.668,0.0
31.68,1.25
31.692,0.33
31.701,0.0
31.713,1.87
31.721,0.28
31.733,0.68
31.742,0.84
31.754,0.0
31.762,1.23
31.774,0.15
31.782,0.0
31.795,1.59
31.803,0.02
31.815,0.94
31.823,0.87
31.836,0.0
31.848,1.6
31.856,0.16
31.868,0.0
31.877,1.6
31.889,0.0
31.897,0.8
31.909,0.89
31.918,0.0
31.93,1.5
31.938,0.35
31.95,0.0
31.959,1.35
31.971,0.0
31.983,1.02
31.991,0.82
32.004,0.0
32.012,1.55
32.024,0.0
32.032,0.0
32.045,1.16
32.053,0.0
32.065,0.83
32.073,0.75
32.086,0.0
32.094,1.69
32.106,0.05
32.118,0.0
32.127,1.05
32.139,0.0
32.147,1.13
32.159,0.69
32.168,0.0
32.18,1.6
32.188,0.0
32.2,0.0
32.208,0.95
32.221,0.0
32.229,1.07
32.241,0.61
32.254,0.0
32.262,1.49
32.274,0.27
32.282,0.0
32.294,0.89
32.303,0.0
32.315,1.22
32.323,0.61
32.335,0.0
32.344,1.58
32.356,0.0
32.364,0.0
32.376,0.9
32.389,0.0
32.397,0.82
32.409,0.49
32.417,0.0
32.43,1.74
32.438,0.0
32.45,0.13
32.458,0.86
32.47,0.0
32.479,0.78
32.491,0.44
32.499,0.0
32.511,1.66
32.524,0.01
32.532,0.31
32.544,0.99
32.552,0.0
32.565,1.23
32.573,0.39
32.585,0.0
32.594,1.69
32.606,0.0
32.614,0.58
32.626,0.96
32.634,0.0
32.647,1.19
32.659,0.25
32.668,0.0
32.679,1.68
32.688,0.0
32.7,0.7
32.708,0.9
32.72,0.0
32.729,1.52
32.741,0.16
32.749,0.0
32.761,1.64
32.77,0.19
32.782,0.45
32.794,0.84
32.802,0.0
32.815,1.32
32.823,0.01
32.835,0.0
32.843,1.7
32.855,0.0
32.864,0.55
32.876,0.85
32.884,0.0
32.896,1.41
32.905,0.06
32.917,0.0
32.925,1.54
32.937,0.0
32.95,0.54
32.958,0.79
32.97,0.0
32.978,1.55
32.991,0.23
32.999,0.0
33.011,1.23
33.019,0.0
33.032,0.75
33.04,0.85
33.052,0.0
33.06,1.45
33.073,0.0
33.085,0.0
33.093,1.08
33.105,0.0
33.114,0.84
33.126,0.77
33.134,0.0
33.146,1.46
33.155,0.31
33.167,0.0
33.175,0.93
33.187,0.0
33.196,0.61
33.208,0.72
33.22,0.0
33.228,1.72
33.241,0.3
33.249,0.15
33.261,1.12
33.269,0.0
33.281,1.16
33.29,0.71
33.302,0.0
33.31,1.67
33.322,0.0
33.331,0.12
33.343,0.99
33.355,0.0
33.363,1.06
33.376,0.61
33.384,0.0
33.396,1.73
33.404,0.0
33.417,0.37
33.425,1.03
33.437,0.0
33.445,1.42
33.458,0.62
33.466,0.0
33.478,1.74
33.49,0.06
33.499,0.27
33.511,1.05
33.519,0.0
33.531,1.53
33.54,0.47
33.552,0.0
33.56,1.61
33.572,0.08
33.58,0.49
33.593,1.01
33.601,0.0
33.613,1.14
33.626,0.46
33.634,0.0
33.646,1.67
33.654,0.33
33.666,0.54
33.675,0.98
33.687,0.0
33.695,1.24
33.707,0.46
33.716,0.0
33.728,1.66
33.736,0.0
33.748,0.53
33.761,0.93
33.769,0.0
33.781,1.14
33.789,0.3
33.802,0.0
33.81,1.53
33.822,0.15
33.83,0.67
33.843,0.86
33.851,0.0
33.863,1.64
33.871,0.26
33.884,0.05
33.896,1.75
33.904,0.27
33.916,0.65
33.925,0.85
33.937,0.0
33.945,1.59
33.957,0.04
33.966,0.02
33.978,1.7
33.986,0.0
33.998,1.15
34.006,0.87
34.019,0.0
34.031,1.71
34.039,0.39
34.052,0.0
34.06,1.63
34.072,0.0
34.08,0.78
34.092,0.87
34.101,0.0
34.113,1.55
34.121,0.38
34.133,0.03
34.142,1.23
34.154,0.0
34.166,0.68
34.174,0.78
34.187,0.0
34.195,1.66
34.207,0.01
34.215,0.0
34.228,1.27
34.236,0.0
34.25,0.99
34.256,0.8
34.269,0.0
34.277,1.64
34.289,0.37
34.301,0.29
34.31,1.09
34.322,0.0
34.33,1.18
34.342,0.77
34.351,0.0
34.363,1.85
34.371,0.04
34.383,0.21
34.391,1.12
34.404,0.0
34.412,1.01
34.424,0.67
34.436,0.0
34.445,1.78
34.457,0.03
34.465,0.42
34.478,1.14
34.486,0.0
34.498,1.31
34.506,0.65
34.518,0.04
34.527,1.71
34.539,0.17
34.547,0.36
34.559,1.14
34.572,0.0
34.58,1.04
34.592,0.54
34.6,0.0
34.613,1.68
34.621,0.0
34.633,0.39
34.641,0.94
34.654,0.0
34.662,1.45
34.674,0.54
34.682,0.0
34.695,1.69
34.707,0.19
34.715,0.5
34.727,0.94
34.735,0.0
34.748,1.55
34.756,0.42
34.768,0.02
34.777,1.66
34.789,0.0
34.797,0.54
34.809,0.97
34.817,0.0
34.83,1.31
34.842,0.35
34.85,0.0
34.863,1.62
34.871,0.3
34.883,0.6
34.891,0.95
34.903,0.0
34.912,1.5
34.924,0.34
34.932,0.0
34.944,1.67
34.953,0.35
