Piezo_1_V,Piezo_2_V,Piezo_3_V,Piezo_4_V,Piezo_5_V,Timestamp_s
0.2933,0.0733,0.0635,0.0831,0.0489,6.586468
0.0831,0.0489,0.088,0.0929,0.0733,6.588024
0.0831,0.0831,0.0391,0.0831,0.1026,6.589504
0.0489,0.0831,0.0538,0.1026,0.0831,6.593028
0.1026,0.1417,0.0733,0.0684,0.0684,6.617988
0.0538,0.0538,0.044,0.0538,0.0538,6.642948
0.0489,0.0587,0.0489,0.0391,0.0635,6.666868
0.044,0.0391,0.0391,0.0489,0.0489,6.690788
0.0391,0.0489,0.0391,0.0489,0.044,6.712628
0.0489,0.044,0.044,0.044,0.0391,6.734468
0.0489,0.0587,0.0391,0.0391,0.0684,6.755268
0.1222,0.1906,0.1075,0.1515,0.0391,6.778148
0.0391,0.0489,0.0587,0.0489,0.0733,6.802068
0.0733,0.0733,0.0391,0.0684,0.0538,6.825992
0.0635,0.0538,0.0635,0.0831,0.0929,6.849908
0.1222,0.0831,0.1271,0.1124,0.1173,6.874868
0.0489,0.1711,0.1026,0.0782,0.0831,6.899828
0.1417,0.132,0.0538,0.1124,0.088,6.924788
0.2102,0.1515,0.0733,0.0782,0.0587,6.949748
0.1369,0.132,0.0587,0.2102,0.0489,6.974708
0.0635,0.044,0.0587,0.0929,0.0733,6.999668
0.044,0.0489,0.0635,0.0587,0.0538,7.023588
0.0587,0.0684,0.0782,0.0635,0.0391,7.047508
0.0489,0.0391,0.0733,0.0538,0.0391,7.071428
0.044,0.0587,0.0391,0.0635,0.044,7.094308
0.0489,0.0391,0.044,0.0538,0.0635,7.116148
0.0538,0.0635,0.0489,0.0587,0.0538,7.139028
0.0489,0.0831,0.0489,0.0635,0.0587,7.163988
0.0782,0.0733,0.0538,0.0538,0.0978,7.188948
0.1173,0.1564,0.0831,0.0489,0.1173,7.213908
0.1515,0.2835,0.2102,0.1564,0.1515,7.238868
0.1271,0.0635,0.0782,0.1271,0.088,7.263828
0.1808,0.1173,0.0684,0.0733,0.0733,7.288788
0.0782,0.1124,0.0831,0.1124,0.1124,7.313748
0.0929,0.0391,0.0733,0.0489,0.0538,7.338708
0.0538,0.044,0.044,0.0635,0.0684,7.362628
0.044,0.0684,0.0391,0.0538,0.044,7.385508
0.0587,0.044,0.0538,0.044,0.0587,7.407348
0.044,0.0391,0.0733,0.0635,0.0538,7.430228
0.0538,0.0489,0.1808,0.0831,0.2102,7.453108
0.0587,0.0587,0.1124,0.0733,0.1271,7.478068
0.0831,0.0782,0.088,0.0684,0.0587,7.503028
0.132,0.088,0.0635,0.0587,0.0929,7.527988
0.0733,0.0587,0.0391,0.0587,0.0782,7.552948
0.1564,0.044,0.0978,0.0684,0.0587,7.576868
0.1026,0.0831,0.0587,0.0635,0.1075,7.600788
0.2102,0.0831,0.1808,0.132,0.0782,7.625748
0.1711,0.0489,0.088,0.0782,0.132,7.650708
0.0782,0.1466,0.0489,0.0391,0.0782,7.675668
0.0635,0.0635,0.0684,0.0831,0.0635,7.699588
0.0391,0.0831,0.088,0.0733,0.0831,7.724548
0.0538,0.0489,0.0587,0.088,0.0587,7.748468
0.0489,0.0538,0.0538,0.044,0.0684,7.773428
0.0635,0.0538,0.0635,0.0929,0.0489,7.797348
0.0587,0.0831,0.0978,0.0538,0.044,7.822308
0.1515,0.1906,0.0978,0.1711,0.1662,7.846228
0.1075,0.1515,0.0587,0.0733,0.0587,7.871188
0.0782,0.1417,0.0587,0.0782,0.259,7.896148
0.132,0.088,0.1466,0.1515,0.088,7.921108
0.0391,0.0831,0.0831,0.0587,0.0929,7.946068
0.0929,0.2053,0.1515,0.088,0.1173,7.969988
0.0635,0.0635,0.0733,0.0831,0.0978,7.994948
0.0782,0.0489,0.1173,0.0978,0.0733,8.019908
0.0587,0.0489,0.044,0.0684,0.0733,8.044868
0.0489,0.0684,0.0489,0.044,0.0733,8.068788
0.0684,0.0538,0.0538,0.0635,0.0489,8.092708
0.0831,0.0635,0.0733,0.0684,0.0587,8.117668
0.0538,0.0489,0.0684,0.0587,0.0733,8.142628
0.0538,0.0831,0.1124,0.1417,0.0489,8.167588
0.0684,0.1026,0.0635,0.0538,0.0733,8.192548
0.0391,0.0978,0.0635,0.1026,0.0929,8.217508
0.044,0.0489,0.0391,0.0587,0.0831,8.241428
0.1026,0.0635,0.0929,0.0733,0.0782,8.264308
0.1075,0.0489,0.1466,0.1955,0.1515,8.289268
0.0489,0.1075,0.1417,0.0782,0.132,8.314228
0.0684,0.0635,0.0635,0.132,0.1515,8.339188
0.088,0.0635,0.0635,0.1466,0.0635,8.364148
0.1124,0.0635,0.044,0.0538,0.132,8.389108
0.0489,0.0929,0.0733,0.0635,0.0929,8.413028
0.0587,0.044,0.044,0.0489,0.0587,8.437988
0.0538,0.0684,0.044,0.0489,0.0635,8.460868
0.0733,0.0733,0.0831,0.0684,0.0391,8.484788
0.0489,0.0489,0.0635,0.0782,0.1124,8.508708
0.0489,0.0635,0.0831,0.0391,0.0733,8.533668
0.1026,0.044,0.0831,0.0489,0.0684,8.557588
0.044,0.088,0.1124,0.0538,0.0587,8.581508
0.1515,0.0391,0.1075,0.044,0.1026,8.605428
0.0831,0.0391,0.044,0.1026,0.0782,8.628308
0.1466,0.1271,0.1369,0.088,0.0538,8.651188
0.0587,0.0587,0.1026,0.0733,0.0587,8.676148
0.0733,0.0538,0.0587,0.0635,0.0489,8.701108
0.0489,0.0391,0.0929,0.0538,0.0929,8.726068
0.0782,0.1124,0.0635,0.0489,0.0538,8.749988
0.0635,0.0733,0.0538,0.0587,0.0733,8.774948
0.0733,0.0587,0.0538,0.1173,0.0978,8.799908
0.0587,0.0733,0.0391,0.0684,0.0635,8.824868
0.0489,0.0538,0.0538,0.1222,0.0538,8.848788
0.0635,0.088,0.0782,0.0831,0.1124,8.873748
0.1124,0.1271,0.0831,0.0782,0.0391,8.898708
0.0831,0.0489,0.0733,0.1075,0.0635,8.922628
0.0684,0.0635,0.1613,0.0782,0.044,8.947588
0.1955,0.0489,0.0391,0.132,0.1222,8.971508
0.2151,0.1222,0.1515,0.088,0.259,8.995428
0.0391,0.1564,0.176,0.0635,0.0587,9.020388
0.0782,0.0733,0.0587,0.0733,0.0587,9.044308
0.0831,0.0831,0.1026,0.0635,0.0635,9.069268
0.0635,0.0831,0.0831,0.0587,0.088,9.094228
0.0831,0.0733,0.0782,0.0733,0.0929,9.119188
0.0489,0.0587,0.0635,0.0587,0.0538,9.144148
0.0587,0.0489,0.0538,0.0587,0.0587,9.169108
0.0489,0.1026,0.088,0.1222,0.1124,9.194068
0.1124,0.0587,0.088,0.1173,0.1808,9.219028
0.1711,0.0831,0.1222,0.1515,0.0929,9.243988
0.0391,0.0831,0.0782,0.0635,0.0587,9.268948
0.132,0.1124,0.0733,0.0929,0.0635,9.292868
0.0489,0.0831,0.1613,0.0635,0.1955,9.317828
0.088,0.0391,0.0538,0.0489,0.0782,9.342788
0.0733,0.0587,0.0978,0.0733,0.0489,9.366708
0.0489,0.0782,0.0733,0.0733,0.0538,9.391668
0.044,0.0733,0.0587,0.0831,0.0391,9.416628
0.044,0.0733,0.044,0.0489,0.044,9.439508
0.0684,0.0587,0.0489,0.0929,0.0831,9.461348
0.1026,0.0782,0.0587,0.0782,0.0733,9.486308
0.0684,0.044,0.0733,0.0489,0.0196,9.511268
0.0733,0.044,0.0587,0.0782,0.0782,9.534148
0.044,0.0489,0.0489,0.0538,0.0293,9.558068
0.0489,0.0391,0.044,0.044,0.0391,9.580948
0.0391,0.0391,0.044,0.0391,0.044,9.601748
0.0489,0.044,0.0391,0.0489,0.044,9.621512
0.0391,0.044,0.0391,0.0391,0.0391,9.643348
0.044,0.0489,0.044,0.044,0.0391,9.663108
0.044,0.0391,0.044,0.0391,0.0538,9.683908
0.044,0.0538,0.044,0.0489,0.044,9.704708
0.0489,0.088,0.0733,0.0391,0.0733,9.726548
0.1271,0.0489,0.1124,0.1564,0.1466,9.750468
0.1515,0.1026,0.1026,0.0635,0.0391,9.775428
0.132,0.0831,0.1515,0.0782,0.088,9.799348
0.0684,0.088,0.0782,0.1026,0.044,9.824308
0.0538,0.0587,0.0684,0.044,0.044,9.848228
0.0831,0.0684,0.0831,0.0587,0.0391,9.871108
0.044,0.0489,0.0733,0.0929,0.0635,9.895028
0.0538,0.044,0.0538,0.0489,0.0489,9.918948
0.0635,0.044,0.0538,0.0489,0.0587,9.942868
0.0587,0.0782,0.088,0.1271,0.0635,9.966788
0.1369,0.0489,0.1564,0.1515,0.0782,9.991748
0.1026,0.1173,0.2053,0.0978,0.1075,10.016708
0.088,0.1075,0.1564,0.0782,0.2102,10.042708
0.0733,0.132,0.0684,0.0635,0.1808,10.068708
0.044,0.0587,0.2542,0.1417,0.0782,10.094708
0.132,0.0929,0.0587,0.0733,0.044,10.119668
0.0782,0.0635,0.0929,0.0538,0.0831,10.144628
0.0538,0.0489,0.0489,0.0538,0.0391,10.170628
0.0538,0.0538,0.0538,0.0489,0.1173,10.195588
0.0929,0.0587,0.088,0.0782,0.0587,10.221588
0.0782,0.0391,0.044,0.044,0.044,10.247588
0.044,0.0782,0.1124,0.0733,0.0929,10.269428
0.0635,0.0489,0.1026,0.1026,0.0587,10.294388
0.0831,0.044,0.0489,0.0635,0.044,10.320388
0.0391,0.088,0.0391,0.0391,0.044,10.344308
0.0782,0.0489,0.0635,0.1271,0.2297,10.366148
0.1222,0.1124,0.0733,0.0635,0.1271,10.392148
0.2004,0.1026,0.0391,0.0587,0.1564,10.418148
0.0733,0.1026,0.0391,0.0782,0.0587,10.443108
0.0489,0.088,0.0489,0.0538,0.0489,10.468068
0.0782,0.0587,0.1466,0.0831,0.0782,10.494068
0.088,0.0782,0.0587,0.0489,0.0489,10.520068
0.0587,0.0391,0.0489,0.0391,0.044,10.546068
0.088,0.0635,0.088,0.0587,0.0489,10.568948
0.0391,0.1124,0.1026,0.0538,0.0489,10.594948
0.1955,0.0684,0.0929,0.2248,0.1075,10.619912
0.1564,0.1222,0.0587,0.1906,0.132,10.645908
0.088,0.0391,0.0831,0.0782,0.0929,10.671908
0.1906,0.0587,0.0831,0.0587,0.0587,10.696868
0.1369,0.0587,0.0929,0.0831,0.0684,10.722868
0.1124,0.0831,0.0733,0.0489,0.0831,10.748868
0.044,0.0635,0.044,0.044,0.044,10.774868
0.0684,0.0391,0.0733,0.0489,0.0929,10.796708
0.0538,0.0684,0.1026,0.1124,0.2151,10.821668
0.0635,0.0978,0.0733,0.0391,0.0978,10.847668
0.044,0.1026,0.0489,0.0831,0.0782,10.872628
0.0831,0.0635,0.0587,0.1466,0.1124,10.897588
0.0684,0.0391,0.1222,0.0733,0.1515,10.923588
0.044,0.0587,0.0929,0.0489,0.1564,10.948548
0.1075,0.1173,0.0489,0.0635,0.044,10.973508
0.0782,0.2102,0.1075,0.0782,0.0391,10.998468
0.1662,0.088,0.0587,0.1515,0.0391,11.023428
0.1124,0.2004,0.0782,0.0489,0.0635,11.048388
0.0538,0.0831,0.0587,0.0782,0.0684,11.074388
0.0831,0.1711,0.044,0.0587,0.1271,11.100388
0.044,0.044,0.0929,0.0538,0.0538,11.125348
0.0587,0.044,0.044,0.0635,0.0684,11.149268
0.0587,0.0782,0.1173,0.0489,0.0635,11.173188
0.0733,0.0782,0.1075,0.088,0.0782,11.199188
0.0782,0.1173,0.0635,0.0489,0.1515,11.225188
0.0391,0.088,0.1564,0.2884,0.1857,11.251188
0.1369,0.2102,0.1417,0.0782,0.1515,11.276148
0.1075,0.2102,0.1173,0.0391,0.0831,11.302148
0.0684,0.132,0.0587,0.0538,0.1124,11.327108
0.044,0.0684,0.0684,0.1564,0.132,11.353108
0.0782,0.0489,0.0489,0.0684,0.0733,11.378068
0.0538,0.0538,0.0684,0.0489,0.0684,11.404068
0.044,0.0489,0.044,0.1026,0.0587,11.430068
0.0978,0.0587,0.0391,0.0538,0.0635,11.453988
0.0978,0.0929,0.0635,0.2151,0.1515,11.478948
0.0733,0.1124,0.1124,0.0635,0.0929,11.504948
0.044,0.0733,0.0831,0.044,0.0733,11.530948
0.044,0.0587,0.0782,0.0587,0.1515,11.554868
0.0635,0.0587,0.1222,0.0831,0.0587,11.579828
0.1124,0.0929,0.0782,0.0831,0.1271,11.605828
0.1271,0.0635,0.132,0.0929,0.1271,11.631828
0.132,0.0587,0.0489,0.2053,0.2688,11.657828
0.0684,0.1271,0.0587,0.0587,0.0587,11.683828
0.044,0.0391,0.0391,0.0489,0.0538,11.709828
0.0929,0.0978,0.1222,0.0635,0.044,11.732708
0.0587,0.0538,0.0391,0.0635,0.0489,11.757668
0.0782,0.0782,0.0538,0.0929,0.0587,11.782628
0.0782,0.0635,0.0587,0.0782,0.0733,11.808628
0.0587,0.044,0.1026,0.0733,0.0587,11.834628
0.0929,0.0587,0.1075,0.1369,0.0684,11.859588
0.1026,0.1173,0.0684,0.1271,0.0831,11.885588
0.1515,0.0684,0.132,0.1564,0.0538,11.911588
0.1271,0.1515,0.0831,0.0489,0.088,11.937588
0.1026,0.044,0.0782,0.0929,0.1075,11.963588
0.1222,0.0489,0.1026,0.1222,0.0489,11.988548
0.1417,0.1026,0.0831,0.1271,0.088,12.014548
0.0733,0.0538,0.0782,0.0489,0.0489,12.040548
0.0391,0.044,0.044,0.0391,0.0489,12.066548
0.044,0.0635,0.044,0.044,0.0489,12.088388
0.0538,0.0635,0.0538,0.044,0.0489,12.111268
0.0587,0.0489,0.0538,0.0538,0.044,12.136228
0.088,0.088,0.1026,0.0782,0.0635,12.161188
0.0733,0.132,0.0733,0.0391,0.0489,12.187188
0.0733,0.0587,0.0391,0.0684,0.0733,12.212148
0.0831,0.0587,0.0587,0.0391,0.0831,12.237108
0.0391,0.088,0.1026,0.0489,0.132,12.262068
0.132,0.1564,0.1515,0.0684,0.0587,12.287028
0.3079,0.1808,0.0782,0.2053,0.1711,12.313028
0.2395,0.1808,0.1173,0.2151,0.132,12.339028
0.0929,0.1222,0.0782,0.0929,0.0635,12.365028
0.0831,0.0538,0.0342,0.0538,0.0929,12.391028
0.0929,0.044,0.0684,0.1271,0.0733,12.415988
0.0538,0.0293,0.0831,0.044,0.0538,12.440948
0.0587,0.0538,0.0489,0.0489,0.044,12.464868
0.044,0.0587,0.0391,0.0489,0.0391,12.489828
0.0391,0.044,0.0538,0.044,0.0635,12.512708
0.044,0.044,0.044,0.0635,0.0635,12.535588
0.0684,0.088,0.0782,0.0733,0.0782,12.558468
0.0929,0.0489,0.2199,0.0831,0.088,12.584468
0.0489,0.0391,0.044,0.0489,0.0342,12.610468
0.0538,0.0391,0.044,0.0538,0.044,12.633348
0.044,0.0538,0.0831,0.0684,0.0733,12.656228
0.0538,0.0538,0.0391,0.0489,0.0635,12.681188
0.0929,0.0538,0.0733,0.0733,0.088,12.706148
0.0831,0.0684,0.0684,0.088,0.044,12.732148
0.1222,0.088,0.0684,0.0733,0.1711,12.757108
0.088,0.0831,0.1075,0.0489,0.0831,12.783108
0.1417,0.0929,0.088,0.0635,0.1124,12.809108
0.044,0.0489,0.0733,0.044,0.044,12.835108
0.0538,0.0684,0.044,0.0538,0.0489,12.857988
0.0782,0.0538,0.0587,0.0831,0.0929,12.882952
0.0587,0.0538,0.0733,0.0489,0.0489,12.908948
0.044,0.044,0.044,0.0587,0.0538,12.934948
0.0391,0.044,0.0538,0.044,0.0587,12.957828
0.044,0.0489,0.0635,0.0489,0.044,12.980708
0.0391,0.1026,0.0782,0.1173,0.1613,13.004628
0.0978,0.1417,0.1564,0.1711,0.1222,13.029588
0.132,0.1662,0.1124,0.132,0.088,13.055588
0.0684,0.1222,0.0782,0.1808,0.0538,13.081588
0.1222,0.1026,0.0391,0.044,0.0391,13.107588
0.1271,0.0635,0.1026,0.0635,0.0587,13.130468
0.0635,0.0587,0.0635,0.0489,0.0635,13.156468
0.044,0.0587,0.0587,0.044,0.0635,13.182468
0.0538,0.0733,0.044,0.0391,0.0733,13.206388
0.0489,0.044,0.088,0.0538,0.0538,13.230308
0.1613,0.044,0.132,0.0587,0.0587,13.255268
0.044,0.0489,0.0391,0.0538,0.0733,13.280228
0.0391,0.0635,0.044,0.0587,0.0733,13.304148
0.044,0.0489,0.0929,0.0489,0.044,13.328068
0.0391,0.0587,0.0489,0.0538,0.0489,13.351988
0.0733,0.0978,0.1026,0.1173,0.1222,13.376948
0.0538,0.1564,0.1173,0.0587,0.1222,13.402948
0.0684,0.0733,0.044,0.0782,0.044,13.428948
0.0489,0.1124,0.0538,0.0391,0.0782,13.452868
0.0733,0.044,0.0538,0.0489,0.0538,13.477828
0.0733,0.0733,0.0684,0.088,0.0733,13.502788
0.0684,0.0538,0.0587,0.1026,0.0831,13.528788
0.0782,0.0635,0.0538,0.0538,0.0733,13.554788
0.0489,0.0635,0.0929,0.0538,0.0489,13.580788
0.0538,0.0635,0.0733,0.0489,0.0489,13.606788
0.0587,0.0831,0.0929,0.0733,0.0538,13.632788
0.1222,0.0489,0.0929,0.0489,0.0684,13.658788
0.1173,0.1417,0.0635,0.1173,0.0489,13.684788
0.0538,0.0929,0.0684,0.0831,0.0391,13.710788
0.044,0.0782,0.0489,0.1026,0.044,13.735748
0.0978,0.0733,0.0391,0.1075,0.1124,13.759668
0.0538,0.0587,0.0391,0.0733,0.1075,13.784628
0.0587,0.0538,0.0684,0.044,0.044,13.809588
0.0489,0.044,0.0391,0.0489,0.0489,13.833508
0.0538,0.0635,0.0538,0.0489,0.0587,13.857428
0.044,0.0587,0.0635,0.0587,0.0635,13.883428
0.0587,0.0489,0.0391,0.0635,0.0978,13.908388
0.0587,0.0782,0.088,0.088,0.0538,13.933348
0.0831,0.0489,0.0782,0.0831,0.0733,13.959348
0.0587,0.0489,0.0831,0.0929,0.0684,13.985348
0.044,0.0684,0.0489,0.0587,0.044,14.011348
0.0978,0.044,0.0489,0.0391,0.0489,14.035268
0.0831,0.044,0.0538,0.1124,0.0831,14.059188
0.0831,0.0831,0.1222,0.0391,0.044,14.084148
0.0782,0.0391,0.0782,0.0831,0.0929,14.108068
0.0538,0.0978,0.0831,0.0684,0.0538,14.133028
0.0831,0.0587,0.0587,0.0489,0.0391,14.159028
0.0635,0.1075,0.0684,0.0978,0.0831,14.183988
0.0733,0.0587,0.0733,0.0978,0.088,14.209988
0.0733,0.0391,0.0635,0.0538,0.0684,14.235988
0.0489,0.0635,0.0635,0.0587,0.044,14.260948
0.0489,0.0635,0.0831,0.0587,0.044,14.285908
0.0684,0.0489,0.0489,0.0782,0.0684,14.310868
0.0831,0.088,0.1026,0.0929,0.088,14.336868
0.0635,0.0733,0.1075,0.0538,0.0929,14.362868
0.088,0.1026,0.0635,0.0684,0.088,14.388868
0.0635,0.0684,0.0538,0.0489,0.0587,14.414868
0.044,0.0391,0.0391,0.0391,0.0538,14.440868
0.0684,0.0684,0.0538,0.0391,0.0587,14.462708
0.0489,0.0391,0.0489,0.0391,0.0538,14.487668
0.044,0.044,0.0587,0.0391,0.044,14.511588
0.0538,0.0391,0.044,0.0489,0.0489,14.533428
0.044,0.0489,0.0391,0.0489,0.0587,14.557348
0.0587,0.0782,0.0684,0.088,0.0635,14.581268
0.2102,0.0538,0.0978,0.0587,0.0391,14.607268
0.1026,0.0587,0.0684,0.1026,0.044,14.632228
0.0831,0.0635,0.0831,0.0733,0.0929,14.657188
0.0635,0.1026,0.0978,0.0489,0.0635,14.683188
0.0831,0.0391,0.0489,0.0635,0.088,14.709188
0.0391,0.1124,0.0391,0.0831,0.044,14.734148
0.0489,0.0978,0.0538,0.0831,0.0782,14.757028
0.0489,0.1124,0.0293,0.0929,0.1906,14.783028
0.0489,0.0538,0.044,0.0635,0.0782,14.807988
0.0538,0.0489,0.0391,0.0391,0.0538,14.832948
0.0733,0.0391,0.0831,0.0538,0.0831,14.856868
0.0587,0.0733,0.0391,0.044,0.0587,14.881828
0.0538,0.044,0.0391,0.0342,0.0489,14.905748
0.0684,0.0489,0.0391,0.0587,0.0538,14.928628
0.0587,0.0635,0.0587,0.0684,0.0489,14.953588
0.0929,0.0733,0.0587,0.0635,0.0684,14.979588
0.1515,0.0978,0.1466,0.0733,0.0831,15.005588
0.0587,0.0684,0.0782,0.0831,0.2053,15.031588
0.1026,0.0489,0.0587,0.1222,0.0538,15.057588
0.0684,0.0391,0.1026,0.1124,0.0929,15.083588
0.044,0.0635,0.1124,0.0587,0.044,15.108548
0.1369,0.0684,0.044,0.0635,0.0587,15.132468
0.0538,0.0391,0.0538,0.0587,0.0391,15.157428
0.044,0.0587,0.044,0.0635,0.044,15.181348
0.044,0.044,0.0342,0.0391,0.0391,15.204228
0.0391,0.044,0.0489,0.0391,0.0538,15.225028
0.0489,0.0489,0.044,0.044,0.044,15.247908
0.044,0.044,0.0391,0.0587,0.2004,15.270788
0.0782,0.044,0.1173,0.0831,0.0733,15.293668
0.0929,0.0635,0.1173,0.0391,0.044,15.318628
0.0733,0.0293,0.0929,0.0782,0.0831,15.342548
0.0684,0.0782,0.0391,0.044,0.0733,15.367508
0.0782,0.0587,0.0587,0.1515,0.0929,15.391428
0.0733,0.1271,0.0391,0.1808,0.0831,15.417428
0.0684,0.0587,0.044,0.0391,0.088,15.442388
0.0391,0.044,0.0978,0.1515,0.0929,15.466308
0.0929,0.044,0.2004,0.044,0.0538,15.490228
0.0587,0.0538,0.0782,0.0587,0.0538,15.514148
0.0587,0.0391,0.0587,0.0635,0.0587,15.540148
0.0538,0.0684,0.0391,0.0733,0.0635,15.565108
0.0831,0.0391,0.0391,0.0587,0.044,15.590068
0.0684,0.0391,0.044,0.044,0.0489,15.612948
0.0538,0.044,0.0538,0.044,0.0489,15.635828
0.0733,0.0733,0.0635,0.044,0.044,15.659748
0.044,0.1124,0.0489,0.1906,0.0782,15.683668
0.1026,0.0587,0.1515,0.0929,0.1222,15.708628
0.088,0.0684,0.1369,0.0489,0.1026,15.734628
0.0782,0.0733,0.1173,0.0782,0.1222,15.760628
0.088,0.1075,0.0635,0.0929,0.1369,15.786628
0.0391,0.0587,0.0538,0.1075,0.0587,15.812628
0.0831,0.0733,0.0391,0.0831,0.0684,15.837588
0.0684,0.0391,0.0733,0.0538,0.0587,15.862548
0.0489,0.0391,0.044,0.0489,0.0733,15.887508
0.044,0.044,0.0489,0.0489,0.044,15.911428
0.0489,0.0538,0.0489,0.0489,0.0342,15.934308
0.0538,0.0538,0.0635,0.0782,0.1173,15.959268
0.0391,0.0929,0.0684,0.1026,0.0489,15.985268
0.088,0.088,0.1026,0.044,0.0782,16.010228
0.0587,0.1173,0.0538,0.0929,0.0635,16.035188
0.0684,0.0538,0.1075,0.0538,0.0929,16.061188
0.0635,0.1417,0.0489,0.1124,0.0635,16.087188
0.0831,0.044,0.0733,0.1808,0.0978,16.113188
0.0587,0.1515,0.0733,0.1222,0.1075,16.138148
0.1711,0.0929,0.044,0.0391,0.1222,16.164148
0.0684,0.1124,0.0391,0.0684,0.0489,16.188068
0.0538,0.0538,0.0587,0.0538,0.0831,16.213028
0.0782,0.0684,0.0831,0.0587,0.0831,16.239028
0.0733,0.0929,0.0929,0.0489,0.0538,16.265028
0.0587,0.088,0.0538,0.0635,0.0782,16.291028
0.0489,0.0538,0.0391,0.0489,0.0489,16.317028
0.0587,0.0391,0.0489,0.044,0.044,16.341988
0.0733,0.1173,0.1271,0.1124,0.1955,16.364868
0.1075,0.1417,0.1271,0.1808,0.1515,16.390868
0.0635,0.176,0.132,0.0733,0.1466,16.416868
0.2102,0.088,0.132,0.0978,0.1173,16.442868
0.0831,0.0929,0.0489,0.1124,0.1369,16.468868
0.0587,0.0635,0.0538,0.0538,0.0538,16.494868
0.1075,0.0831,0.0733,0.0489,0.1026,16.520868
0.0782,0.0684,0.088,0.0831,0.0635,16.546868
0.0782,0.0587,0.044,0.0635,0.0538,16.572868
0.044,0.0733,0.0635,0.0587,0.0489,16.597828
0.0391,0.0489,0.0587,0.0538,0.0684,16.622788
0.0831,0.0831,0.0635,0.0391,0.0587,16.647748
0.1564,0.0684,0.088,0.044,0.0587,16.672708
0.1222,0.0684,0.1026,0.0489,0.0391,16.697668
0.0684,0.0538,0.0538,0.132,0.0538,16.722628
0.0733,0.0635,0.0929,0.0635,0.0391,16.748628
0.0587,0.0587,0.0684,0.0929,0.1222,16.773588
0.0587,0.1515,0.3275,0.0635,0.1808,16.799588
0.0635,0.0587,0.2297,0.0587,0.1515,16.825588
0.0782,0.0733,0.1124,0.1417,0.1417,16.851588
0.088,0.0782,0.0587,0.0635,0.088,16.877588
0.0831,0.0635,0.0684,0.0733,0.044,16.903588
0.132,0.088,0.0635,0.0929,0.0538,16.928548
0.0684,0.044,0.0538,0.0684,0.0489,16.954548
0.0391,0.0489,0.044,0.0587,0.0391,16.979508
0.0978,0.0587,0.0587,0.0684,0.0684,17.002388
0.0489,0.0587,0.0978,0.2004,0.2102,17.028388
0.0929,0.0684,0.0684,0.1222,0.0684,17.054388
0.0538,0.1173,0.0587,0.0587,0.0733,17.080388
0.0782,0.2688,0.088,0.0684,0.1515,17.106388
0.132,0.0831,0.0635,0.0831,0.0684,17.132388
0.0929,0.1222,0.1515,0.1173,0.0782,17.158388
0.1124,0.088,0.0684,0.0782,0.1026,17.184388
0.0635,0.0489,0.0635,0.0684,0.0831,17.210388
0.044,0.0538,0.0587,0.0391,0.0391,17.236388
0.0538,0.0391,0.0635,0.0538,0.0733,17.259268
0.0538,0.0489,0.0489,0.0391,0.0538,17.284228
0.0635,0.0587,0.044,0.0538,0.0782,17.309188
0.0978,0.1222,0.1222,0.0587,0.0635,17.334148
0.0489,0.0782,0.0733,0.0489,0.0635,17.360148
0.0978,0.044,0.0391,0.0733,0.0489,17.386148
0.0978,0.0782,0.0391,0.0733,0.0733,17.410068
0.0635,0.088,0.0684,0.0782,0.0538,17.435028
